Region,value
Adelaide,104.80
Brisbane,103.09
Carlton,101.31
Collingwood,130.67
Essendon,112.45
Fremantle,97.17
Geelong,103.14
Gold Coast,124.70
GWS,97.30
Hawthorn,102.32
Melbourne,92.00
North Melbourne,102.96
Port Adelaide,99.36
Richmond,110.68
St Kilda,97.30
Sydney,103.08
West Coast,99.75
Western Bulldogs,115.23
