Region,value
Adelaide,104.59
Brisbane,134.78
Carlton,101.36
Collingwood,108.43
Essendon,107.41
Fremantle,111.16
Geelong,107.71
Gold Coast,119.13
GWS,103.45
Hawthorn,109.08
Melbourne,101.00
North Melbourne,101.32
Port Adelaide,97.72
Richmond,98.74
St Kilda,95.35
Sydney,104.26
West Coast,107.64
Western Bulldogs,104.38
