Region,value
Adelaide,98.65
Brisbane,103.10
Carlton,88.90
Collingwood,117.65
Essendon,105.41
Fremantle,105.00
Geelong,116.79
Gold Coast,114.62
GWS,94.14
Hawthorn,94.46
Melbourne,81.84
North Melbourne,94.67
Port Adelaide,105.17
Richmond,95.65
St Kilda,111.81
Sydney,100.44
West Coast,108.39
Western Bulldogs,105.50
