Region,value
Adelaide,105.04
Brisbane,116.65
Carlton,105.41
Collingwood,111.50
Essendon,117.59
Fremantle,111.14
Geelong,118.58
Gold Coast,105.24
GWS,103.26
Hawthorn,103.08
Melbourne,106.50
North Melbourne,96.77
Port Adelaide,100.64
Richmond,107.05
St Kilda,110.48
Sydney,108.72
West Coast,102.45
Western Bulldogs,98.96
