Region,value
Adelaide,108.36
Brisbane,114.29
Carlton,116.82
Collingwood,114.68
Essendon,115.68
Fremantle,100.29
Geelong,121.08
Gold Coast,118.79
GWS,113.88
Hawthorn,127.18
Melbourne,104.25
North Melbourne,94.38
Port Adelaide,102.91
Richmond,111.36
St Kilda,102.00
Sydney,97.05
West Coast,102.04
Western Bulldogs,103.95
