Region,value
Adelaide,106.43
Brisbane,114.05
Carlton,98.32
Collingwood,111.05
Essendon,106.82
Fremantle,103.75
Geelong,97.80
Gold Coast,95.88
GWS,104.00
Hawthorn,112.57
Melbourne,92.43
North Melbourne,110.96
Port Adelaide,101.95
Richmond,99.70
St Kilda,111.68
Sydney,109.83
West Coast,102.04
Western Bulldogs,103.86
